lokasi,judul,harga_bersih,kamar_tidur,kamar_mandi,luas_tanah_m2,luas_bangunan,tanggal_clean,kecamatan
"Klojen, Malang",Dijual rumah di Area Jalan Poros Raya Bogor Veteran. Lokasi sangat-sangat bagus dan strategis. Berada di Tengah Kota Malang yang merupakan kawasan ...,12000000000.0,7.0,3.0,601.0,300.0,2026-04-13,Klojen
"Blimbing, Malang","[Harga Miring, Jual Cepat] Turun Harga ❗️  Dijual Rumah Usaha, Rumah di Area Jalan Ciliwung, Purwantoro, Blimbing Malang  Lokasi Strategis Coco...",1700000000.0,3.0,2.0,176.0,328.0,2026-04-13,Blimbing
"Merjosari, Malang","Rumah di Merjosari.  Dapatkan rumah 2 lantai yang asri ini,  dijual dengan pemandangan indah yang menambah nilai estetika di lingkungan hunian. Rum...",1200000000.0,10.0,10.0,75.0,133.0,2026-04-13,Lowokwaru
"Lowokwaru, Malang","(RN161) Lokasi Hanya Selangkah Ke Suhat (Pusat Pendidikan, Bisnis Dan Kuliner Kota Malang)  Passive Income 1,7 - 2jt-An / Bulan  Token Listrik Utam...",3590000000.0,18.0,19.0,162.0,300.0,2026-04-13,Lowokwaru
"Blimbing, Malang","Dijual rumah 2 lantai perumahan Araya Malang Kota
 
 Luas 214 m2 dengan 6 kamar tidur
 Lokasi nyaman, akses mudah
 Dekat dengan berbagai fasilitas ...",1950000000.0,6.0,4.0,214.0,300.0,2026-04-13,Blimbing
"Araya, Malang","Dijual rumah hook di kawasan prestisius PBI Araya, Kota Malang. Lokasi premium dengan lingkungan nyaman, aman, dan sangat cocok untuk hunian eksklu...",5500000000.0,3.0,2.0,505.0,153.0,2026-04-13,Blimbing
"Araya, Malang",DIJUAL RUMAH TERAWAT DAN SIAP HUNI DI ARAYA MALANG  Spesifikasi : LT                             : 200m² LB                            : 150m² KT...,2000000000.0,4.0,3.0,200.0,150.0,2026-04-13,Blimbing
"Lowokwaru, Malang",Dijual rumah di Perumahan Elit Permata Jingga Soekarno Hatta. Lokasi perumahan sangat strategis dan akses mudah kemana-mana. Lingkungan perumahan s...,5300000000.0,4.0,5.0,350.0,350.0,2026-04-13,Lowokwaru
"Lowokwaru, Malang","Rumah Murah Luas 183 m2 Area Perumahan Borobudur Agung Suhat.  Lokasi dekat dengan jalan soekarno hatta, pusat perbelanjaan, rumah sakit, pom bensi...",1500000000.0,4.0,2.0,183.0,160.0,2026-04-13,Lowokwaru
"Klojen, Malang","(DN2671) Untuk Katalog Properti Lengkap, Bisa Diakses Langsung Melalui Link Berikut ********  Lantai Full Marmer  Furnished Import Italy Private Po...",32500000000.0,10.0,7.0,1280.0,1300.0,2026-04-13,Klojen
