lokasi,judul,harga_bersih,kamar_tidur,kamar_mandi,luas_tanah_m2,luas_bangunan,tanggal_clean,kecamatan
"Oro-Oro Dowo, Malang","Rumah dijual Bangunan Design kolonial. Lokasi Di gunung gunung Jl Ijen area jl Guntur , Kel Oro oro dowo malang selangkah ke Jl Ijen Boulevard 2 me...",11000000000.0,7.0,5.0,578.0,220.0,2026-04-13,Klojen
"Dieng, Malang","Dijual rumah minimalis modern daerah Mulyorejo, dekat dengan Dieng, Kota Malang. Rumah sangat terawat, lingkungan tenang, asri, sangat nyaman dan a...",500000000.0,2.0,1.0,72.0,50.0,2026-04-13,Sukun
"Sukun, Malang","DIJUAL RUMAH ISTANA DIENG TIMUR BANDULAN SUKUN MALANG, JAWA TIMUR
 
 DIJUAL Rp. 3.5 M
 
 LT : 200 M2
 LB : 175 M2
 
 SHM
 HADAP TIMUR
 
 RUMAH 1 LA...",3500000000.0,3.0,4.0,200.0,175.0,2026-04-13,Sukun
"Lowokwaru, Malang","Kesempatan emas memiliki rumah siap huni di kawasan favorit Cengger Ayam, Lowokwaru, Kota Malang. Kondisi rumah sudah semi furnish, tinggal bawa ko...",1700000000.0,4.0,2.0,150.0,225.0,2026-04-13,Lowokwaru
"Blimbing, Malang",MURAH DIJUAL RUMAH MINIMALIS GRAHA KENCANA BOULEVARD  LT 232 m2 LB 190 m2  Kamar tidur 4 (AC 3) + 1 Kamar mandi 3 (Heater 2) + 1 PDAM dan sumur Lis...,2500000000.0,4.0,3.0,232.0,190.0,2026-04-13,Blimbing
"Klojen, Malang",DIJUAL RUMAH MODERN Jl. PULAU-PULAU KLOJEN HARGA MIRING   Lokasi : KAWASAN STRATEGIS  Jl. PULAU2 KLOJEN KOTA MALANG   KAWASAN HUNIAN ELITE YANG NYA...,3500000000.0,5.0,5.0,327.0,280.0,2026-04-13,Klojen
"Blimbing, Malang","Rumah Bagus Lokasi Nyaman Area Perumahan Poros Jalan Sulfat Blimbing.  Lokasi berada di area perumahan Sulfat, mudah diakses dan row jalanan yang l...",1100000000.0,5.0,2.0,150.0,170.0,2026-04-13,Blimbing
"Sukun, Malang","Dijual rumah di perumahan Tidar, Malang. Lokasi tidak jauh dari beberapa Universitas terkemuka di Malang (Universitas Machung, Universitas Brawijay...",1300000000.0,2.0,1.0,120.0,75.0,2026-04-13,Sukun
"Araya, Malang","Rumah Mewah Jalan Kembar Bouelavrd Araya Golf Ada Kolam Renang
 
 Kawasan elite di kota Malang mudah diakses dan jalanan yang lebar.
 Fasilitas san...",5200000000.0,4.0,3.0,370.0,400.0,2026-04-13,Blimbing
"Sukun, Malang","Dijual rumah terbaik di Kota Malang, dengan harga yang terjangkau. Bangunan rumah dari material bata merah, sangat kokoh dan sejuk. Lingkungan peru...",480000000.0,2.0,1.0,75.0,50.0,2026-04-13,Sukun
